region_id,region_name,flower_png
204,Bangladesh,./figs/flower_Bangladesh.png
205,Myanmar,./figs/flower_Myanmar.png
206,Malaysia,./figs/flower_Malaysia.png
207,Vietnam,./figs/flower_Vietnam.png
208,Singapore,./figs/flower_Singapore.png
209,China,./figs/flower_China.png
210,Japan,./figs/flower_Japan.png
212,Gilbert Islands (Kiribati),./figs/flower_GilbertIslands(Kiribati).png
213,Antarctica,./figs/flower_Antarctica.png
214,Egypt,./figs/flower_Egypt.png
215,Jordan,./figs/flower_Jordan.png
216,Indonesia,./figs/flower_Indonesia.png
218,Canada,./figs/flower_Canada.png
219,Saint Pierre and Miquelon,./figs/flower_SaintPierreandMiquelon.png
220,Sint Maarten,./figs/flower_SintMaarten.png
221,Northern Saint-Martin,./figs/flower_NorthernSaint-Martin.png
222,Sweden,./figs/flower_Sweden.png
223,Norway,./figs/flower_Norway.png
224,Chile,./figs/flower_Chile.png
227,Jersey,./figs/flower_Jersey.png
228,Guernsey,./figs/flower_Guernsey.png
231,East Timor,./figs/flower_EastTimor.png
232,Bosnia and Herzegovina,./figs/flower_BosniaandHerzegovina.png
237,Oecussi Ambeno,./figs/flower_OecussiAmbeno.png
244,Curacao,./figs/flower_Curacao.png
245,Bonaire,./figs/flower_Bonaire.png
247,Brunei,./figs/flower_Brunei.png
248,Saba,./figs/flower_Saba.png
249,Sint Eustatius,./figs/flower_SintEustatius.png
250,Aruba,./figs/flower_Aruba.png
